Marka,Model,Motor/Seri,Donanım/Paket
Citroen,AMI,Ami Buggy,
Citroen,AMI,Electric,
Citroen,AMI,Peps,
Citroen,AMI,POP,
Citroen,AMI,Tonic,
Citroen,AX,1.0,E
Citroen,AX,1.0,Sport
Citroen,AX,1.1,Caban
Citroen,AX,1.1,First
Citroen,AX,1.1,Hit
Citroen,AX,1.1,Sport
Citroen,AX,1.4,Furio
Citroen,AX,1.4,GT
Citroen,AX,1.5,TD
Citroen,Berlingo,1.2 PureTech Feel,
Citroen,Berlingo,1.4 Multispace,
Citroen,Berlingo,1.4 SX,
Citroen,Berlingo,1.4 X,
Citroen,Berlingo,1.4,
Citroen,Berlingo,1.5 BlueHDI Feel Bold,
Citroen,Berlingo,1.5 BlueHDI Feel Stil,
Citroen,Berlingo,1.5 BlueHDI Feel,
Citroen,Berlingo,1.5 BlueHDI Max,
Citroen,Berlingo,1.5 BlueHDI Plus,
Citroen,Berlingo,1.5 BlueHDI Shine Bold,
Citroen,Berlingo,1.5 BlueHDI Shine,
Citroen,Berlingo,1.5 BlueHDI You,
Citroen,Berlingo,1.5 BlueHDI,
Citroen,Berlingo,1.6 BlueHDI Feel,
Citroen,Berlingo,1.6 BlueHDI Maxi,
Citroen,Berlingo,1.6 BlueHDI Selection Adventure Pack,
Citroen,Berlingo,1.6 BlueHDI Selection,
Citroen,Berlingo,1.6 BlueHDI Shine,
Citroen,Berlingo,1.6 BlueHDI SX Adventure Pack,
Citroen,Berlingo,1.6 BlueHDI,
Citroen,Berlingo,1.6 Feeling,
Citroen,Berlingo,1.6 HDi Combi Silverline,
Citroen,Berlingo,1.6 HDi Combi SX,
Citroen,Berlingo,1.6 HDi Combi X,
Citroen,Berlingo,1.6 HDi Combi,
Citroen,Berlingo,1.6 HDi Family,
Citroen,Berlingo,1.6 HDi Maxi,
Citroen,Berlingo,1.6 HDi Multispace,
Citroen,Berlingo,1.6 HDi Selection,
Citroen,Berlingo,1.6 HDi SX,
Citroen,Berlingo,1.6 HDi X,
Citroen,Berlingo,1.6 SX,
Citroen,Berlingo,1.8 SX,
Citroen,Berlingo,1.9 D Combi X,
Citroen,Berlingo,1.9 D FG,
Citroen,Berlingo,1.9 D Multispace,
Citroen,Berlingo,1.9 D SX,
Citroen,Berlingo,1.9 D X,
Citroen,Berlingo,1.9 D,
Citroen,Berlingo,2.0 HDi Combi X,
Citroen,Berlingo,2.0 HDi Feeling,
Citroen,Berlingo,2.0 HDi Multispace,
Citroen,Berlingo,2.0 HDi SX,
Citroen,Berlingo,2.0 HDi,
Citroen,BX,14,TE
Citroen,BX,14,TGE
Citroen,BX,15,TGE
Citroen,BX,16,Millesime
Citroen,BX,16,RI
Citroen,BX,16,TRS
Citroen,BX,17,TGD
Citroen,BX,19,TGD
Citroen,BX,19,TRD
Citroen,C-Elysée,1.2 VTi,Attraction
Citroen,C-Elysée,1.2 VTi,Confort
Citroen,C-Elysée,1.2 VTi,Exclusive
Citroen,C-Elysée,1.2,Live
Citroen,C-Elysée,1.5 BlueHDI,Feel
Citroen,C-Elysée,1.5 BlueHDI,Feel Bold
Citroen,C-Elysée,1.5 BlueHDI,Live
Citroen,C-Elysée,1.5 BlueHDI,Shine
Citroen,C-Elysée,1.6 BlueHDI,Feel
Citroen,C-Elysée,1.6 BlueHDI,Live
Citroen,C-Elysée,1.6 BlueHDI,Shine
Citroen,C-Elysée,1.6 HDi,Attraction
Citroen,C-Elysée,1.6 HDi,Confort
Citroen,C-Elysée,1.6 HDi,Exclusive
Citroen,C-Elysée,1.6 HDi,Feel
Citroen,C-Elysée,1.6 HDi,Live
Citroen,C-Elysée,1.6 HDi,Shine
Citroen,C-Elysée,1.6 VTi,Exclusive
Citroen,C1,1.0 VTi,Airscape
Citroen,C1,1.0 VTi,Feel
Citroen,C1,1.0 VTi,Shine
Citroen,C1,1.0,Confort
Citroen,C1,1.0,SX
Citroen,C1,1.0,SX Sensodrive
Citroen,C1,1.4 HDi,SX
Citroen,C15,C15 D Familiale,
Citroen,C15,C15 D,
Citroen,C15,C15 E 040,
Citroen,C15,C15 E,
Citroen,C2,1.1,X
Citroen,C2,1.4 HDi,SX
Citroen,C2,1.4 HDi,Tonic
Citroen,C2,1.4 HDi,VTR
Citroen,C2,1.4 HDi,X
Citroen,C2,1.4 HDi,X Pack
Citroen,C2,1.4,SX
Citroen,C2,1.4,X Pack
Citroen,C2,1.6,GT
Citroen,C2,1.6,VTR
Citroen,C2,1.6,VTS
Citroen,C25,1000,
Citroen,C25,1400,
Citroen,C25,1800,
Citroen,C25,2.0,
Citroen,C3 AirCross Elektrik,Max,
Citroen,C3 AirCross,1.2 Hybrid,Max
Citroen,C3 AirCross,1.2 Hybrid,Plus
Citroen,C3 AirCross,1.2 PureTech,Exclusive
Citroen,C3 AirCross,1.2 PureTech,Feel
Citroen,C3 AirCross,1.2 PureTech,Feel Bold
Citroen,C3 AirCross,1.2 PureTech,Feel Business
Citroen,C3 AirCross,1.2 PureTech,Feel S Edition
Citroen,C3 AirCross,1.2 PureTech,Live
Citroen,C3 AirCross,1.2 PureTech,Shine
Citroen,C3 AirCross,1.5 BlueHDi,Exclusive
Citroen,C3 AirCross,1.5 BlueHDi,Exclusive Business
Citroen,C3 AirCross,1.5 BlueHDi,Feel
Citroen,C3 AirCross,1.5 BlueHDi,Feel Bold
Citroen,C3 AirCross,1.5 BlueHDi,Live Plus
Citroen,C3 AirCross,1.5 BlueHDi,Shine
Citroen,C3 AirCross,1.6 BlueHDi,Feel
Citroen,C3 AirCross,1.6 BlueHDi,Shine
Citroen,C3 Picasso,1.4,SX
Citroen,C3 Picasso,1.6 e-HDi,Confort
Citroen,C3 Picasso,1.6 HDi,Confort
Citroen,C3 Picasso,1.6 HDi,SX
Citroen,C3 Picasso,1.6 HDi,X
Citroen,C3,1.1,SX
Citroen,C3,1.1,X
Citroen,C3,1.2 PureTech,Elle
Citroen,C3,1.2 PureTech,Feel
Citroen,C3,1.2 PureTech,Feel Adventure
Citroen,C3,1.2 PureTech,Feel Bold
Citroen,C3,1.2 PureTech,Feel Business
Citroen,C3,1.2 PureTech,Feel S Edition
Citroen,C3,1.2 PureTech,Live
Citroen,C3,1.2 PureTech,Selection
Citroen,C3,1.2 PureTech,Shine
Citroen,C3,1.2 PureTech,Shine Business
Citroen,C3,1.2 PureTech,Shine S Edition
Citroen,C3,1.2 PureTech,Shine SX Edition
Citroen,C3,1.2 VTi,Cool
Citroen,C3,1.4 e-HDi,Confort
Citroen,C3,1.4 HDi,Attraction
Citroen,C3,1.4 HDi,Collection
Citroen,C3,1.4 HDi,Confort
Citroen,C3,1.4 HDi,Exclusive
Citroen,C3,1.4 HDi,SX
Citroen,C3,1.4 HDi,X
Citroen,C3,1.4 HDi,X Furio
Citroen,C3,1.4 VTi,Collection
Citroen,C3,1.4 VTi,Confort
Citroen,C3,1.4,Attraction
Citroen,C3,1.4,Collection
Citroen,C3,1.4,Comfort
Citroen,C3,1.4,Pluriel
Citroen,C3,1.4,SensoDrive
Citroen,C3,1.4,SX
Citroen,C3,1.4,X Furio
Citroen,C3,1.6 BlueHDi,Feel
Citroen,C3,1.6 BlueHDi,Live
Citroen,C3,1.6 BlueHDi,Shine
Citroen,C3,1.6 HDi,Exclusive
Citroen,C3,1.6 HDi,SX
Citroen,C3,1.6 VTi,Confort
Citroen,C3,1.6 VTi,Exclusive
Citroen,C3,1.6 VTi,Feel
Citroen,C3,1.6 VTi,Shine
Citroen,C3,1.6,Pluriel
Citroen,C3,1.6,SX
Citroen,C3,1.6,XTR
Citroen,C4 Cactus,1.2 e-VTi,Feel
Citroen,C4 Cactus,1.2 e-VTi,Shine
Citroen,C4 Cactus,1.2 PureTech,Feel
Citroen,C4 Cactus,1.2 PureTech,Feel Edition
Citroen,C4 Cactus,1.2 PureTech,Shine
Citroen,C4 Cactus,1.2 PureTech,Shine Edition
Citroen,C4 Cactus,1.2 VTi,Feel
Citroen,C4 Cactus,1.2 VTi,Feel Edition
Citroen,C4 Cactus,1.2 VTi,Live
Citroen,C4 Cactus,1.2 VTi,Shine
Citroen,C4 Cactus,1.5 BlueHDi,Feel
Citroen,C4 Cactus,1.5 BlueHDi,Shine
Citroen,C4 Cactus,1.6 BlueHDi,Feel
Citroen,C4 Cactus,1.6 BlueHDi,Shine
Citroen,C4 Cactus,1.6 e-HDi,Feel
Citroen,C4 Cactus,1.6 e-HDi,Shine
Citroen,C4 Grand Picasso,1.5 BlueHDI,Shine
Citroen,C4 Grand Picasso,1.6 BlueHDi,Feel
Citroen,C4 Grand Picasso,1.6 BlueHDi,Intensive
Citroen,C4 Grand Picasso,1.6 BlueHDi,Shine
Citroen,C4 Grand Picasso,1.6 e-HDi,Dynamic
Citroen,C4 Grand Picasso,1.6 e-HDi,Intensive
Citroen,C4 Grand Picasso,1.6 HDi,
Citroen,C4 Grand Picasso,1.6 VTi,
Citroen,C4 Grand Picasso,2.0 HDi,Dynamique
Citroen,C4 Grand Picasso,2.0 HDi,Exclusive
Citroen,C4 Picasso,1.6 BlueHDi,Feel
Citroen,C4 Picasso,1.6 BlueHDi,Intensive
Citroen,C4 Picasso,1.6 BlueHDi,Shine
Citroen,C4 Picasso,1.6 e-HDi,Dynamique
Citroen,C4 Picasso,1.6 e-HDi,Intensive
Citroen,C4 Picasso,1.6 HDi,Dynamique
Citroen,C4 Picasso,1.6 HDi,SX
Citroen,C4 Picasso,1.6 HDi,SX PK
Citroen,C4 Picasso,1.6 HDi,VTR PK
Citroen,C4 Picasso,Exclusive,
Citroen,C4 X,1.2 PureTech,Feel
Citroen,C4 X,1.2 PureTech,Feel Bold
Citroen,C4 X,1.2 PureTech,Max
Citroen,C4 X,1.2 PureTech,Shine
Citroen,C4 X,1.2 PureTech,Shine Bold
Citroen,C4 X,1.2 PureTech,You
Citroen,C4 X,1.5 BlueHDi,Feel Bold
Citroen,C4 X,1.5 BlueHDi,Shine
Citroen,C4 X,1.5 BlueHDi,Shine Bold
Citroen,C4,1.2 Hybrid,Max
Citroen,C4,1.2 PureTech,Confort
Citroen,C4,1.2 PureTech,Exclusive
Citroen,C4,1.2 PureTech,Feel
Citroen,C4,1.2 PureTech,Feel Bold
Citroen,C4,1.2 PureTech,Max
Citroen,C4,1.2 PureTech,Shine
Citroen,C4,1.2 PureTech,Shine Bold
Citroen,C4,1.2 PureTech,You
Citroen,C4,1.4 VTi,Attraction
Citroen,C4,1.4 VTi,Easy
Citroen,C4,1.4,Collection
Citroen,C4,1.4,SX
Citroen,C4,1.5 BlueHDi,Feel Bold
Citroen,C4,1.5 BlueHDi,Shine
Citroen,C4,1.5 BlueHDi,Shine Bold
Citroen,C4,1.6 BlueHDi,Confort
Citroen,C4,1.6 BlueHDi,Exclusive
Citroen,C4,1.6 e-HDi,Confort
Citroen,C4,1.6 e-HDi,Confort Plus
Citroen,C4,1.6 e-HDi,Exclusive
Citroen,C4,1.6 HDi,Attraction
Citroen,C4,1.6 HDi,Confort
Citroen,C4,1.6 HDi,Confort Plus
Citroen,C4,1.6 HDi,Easy
Citroen,C4,1.6 HDi,SX
Citroen,C4,1.6 HDi,SX PK
Citroen,C4,1.6 HDi,VTRPK
Citroen,C4,1.6,Collection
Citroen,C4,1.6,Prestige
Citroen,C4,1.6,SX
Citroen,C4,1.6,SX PK
Citroen,C4,1.6,VTi Confort
Citroen,C4,1.6,VTi VTR
Citroen,C4,1.6,VTR
Citroen,C4,1.6,VTRPK
Citroen,C4,1.6,X
Citroen,C4,2.0 HDi,Exclusive
Citroen,C4,2.0,VTS
Citroen,C5 AirCross,1.2 Hybrid,E-Series
Citroen,C5 AirCross,1.2 Hybrid,Max
Citroen,C5 AirCross,1.2 Hybrid,Plus
Citroen,C5 AirCross,1.2 Puretech,Feel
Citroen,C5 AirCross,1.2 Puretech,Feel Adventure
Citroen,C5 AirCross,1.2 Puretech,Live
Citroen,C5 AirCross,1.5 BlueHDI,Exclusive
Citroen,C5 AirCross,1.5 BlueHDI,Feel
Citroen,C5 AirCross,1.5 BlueHDI,Feel Adventure
Citroen,C5 AirCross,1.5 BlueHDI,Feel Bold
Citroen,C5 AirCross,1.5 BlueHDI,Feel S Edition
Citroen,C5 AirCross,1.5 BlueHDI,Live
Citroen,C5 AirCross,1.5 BlueHDI,Live Business
Citroen,C5 AirCross,1.5 BlueHDI,Max
Citroen,C5 AirCross,1.5 BlueHDI,Selection
Citroen,C5 AirCross,1.5 BlueHDI,Selection Business
Citroen,C5 AirCross,1.5 BlueHDI,Shine
Citroen,C5 AirCross,1.5 BlueHDI,Shine Bold
Citroen,C5 AirCross,1.5 BlueHDI,Shine S Edition
Citroen,C5 AirCross,1.6 PureTech,Exclusive
Citroen,C5 AirCross,1.6 PureTech,Feel Adventure
Citroen,C5 AirCross,1.6 PureTech,Live
Citroen,C5 AirCross,1.6 PureTech,Selection
Citroen,C5 AirCross,1.6 PureTech,Selection Business
Citroen,C5 AirCross,1.6 PureTech,Shine
Citroen,C5 AirCross,1.6 PureTech,Shine Bold
Citroen,C5 AirCross,1.6 PureTech,Shine S Edition
Citroen,C5 AirCross,1.6 PureTech,Shine SX Edition
Citroen,C5,1.6 e-HDi,Confort
Citroen,C5,1.6 e-HDi,Dynamique
Citroen,C5,1.6 e-HDi,Executive
Citroen,C5,1.6 HDi,Confort
Citroen,C5,1.6 HDi,Dynamique
Citroen,C5,1.6 HDi,Executive
Citroen,C5,1.6 HDi,SX
Citroen,C5,1.6 HDi,SX PK
Citroen,C5,1.8,
Citroen,C5,2.0 HDi,Break
Citroen,C5,2.0 HDi,Dynamique
Citroen,C5,2.0 HDi,Exclusive
Citroen,C5,2.0 HDi,Hdi
Citroen,C5,2.0 HDi,SX
Citroen,C5,2.0 HDi,SX PK
Citroen,C5,2.0,2.0
Citroen,C5,2.0,Exclusive
Citroen,C5,2.0,SX
Citroen,C5,2.0,SX PK
Citroen,C5,2.2 HDi,SX
Citroen,C5,2.7 HDi,Exclusive
Citroen,C5,3.0,
Citroen,C5,Confort,
Citroen,C5,Dynamique,
Citroen,C5,Exclusive,
Citroen,C6,2.7 HDi,
Citroen,C6,3.0,
Citroen,C8,2.0 HDi Collection,
Citroen,C8,2.0 HDi SX,
Citroen,C8,2.0 X,
Citroen,C8,2.2 HDi SX,
Citroen,C8,2.2 SX,
Citroen,C8,3.0 SX,
Citroen,e-C3 AirCross,Max,
Citroen,e-C3,Max,
Citroen,e-C3,Plus,
Citroen,e-C4 X,Max,
Citroen,e-C4 X,Shine Bold,
Citroen,e-C4,Max,
Citroen,e-C4,Shine Bold,
Citroen,e-C5 AirCross,Max,
Citroen,e-C5 AirCross,Plus,
Citroen,Evasion,1.9 TD SX,
Citroen,Evasion,2.0 SX,
Citroen,Evasion,2.0 X,
Citroen,Jumper,2.0 BlueHDI L4H2,
Citroen,Jumper,2.2 BlueHDi,
Citroen,Jumper,2.2 HDi L3H2,
Citroen,Jumper,2.2 HDi L4H2,
Citroen,Jumper,27 C,
Citroen,Jumper,29 C,
Citroen,Jumper,29 CH,
Citroen,Jumper,31 C,
Citroen,Jumper,31 CH,
Citroen,Jumper,31 LH,
Citroen,Jumper,31 M,
Citroen,Jumper,31 MH,
Citroen,Jumper,33 M,
Citroen,Jumper,35 L,
Citroen,Jumper,35 LH,
Citroen,Jumper,35 LS,
Citroen,Jumper,35 MH,
Citroen,Jumper,35 MS,
Citroen,Jumpy,1.5 BlueHDi Business,
Citroen,Jumpy,1.5 BlueHDi Long,
Citroen,Jumpy,1.5 BlueHDi Space,
Citroen,Jumpy,1.5 BlueHDi Spacetourer,
Citroen,Jumpy,1.5 BlueHDi,
Citroen,Jumpy,1.6 BlueHDi Space,
Citroen,Jumpy,1.6 BlueHDi Spacetourer,
Citroen,Jumpy,1.6 HDi Combi,
Citroen,Jumpy,1.6 HDi,
Citroen,Jumpy,1.9 D Confort,
Citroen,Jumpy,1.9 D X,
Citroen,Jumpy,1.9 TD Combi SX,
Citroen,Jumpy,1.9 TD Confort,
Citroen,Jumpy,2.0 BlueHDI Cityvan,
Citroen,Jumpy,2.0 BlueHDI Spacetourer,
Citroen,Jumpy,2.0 BlueHDI,
Citroen,Jumpy,2.0 HDi Combi,
Citroen,Jumpy,2.0 HDi Confort,
Citroen,Jumpy,2.0 HDi,
Citroen,Jumpy,2.2 BlueHDI Business,
Citroen,Jumpy,2.2 BlueHDI Long,
Citroen,Jumpy,2.2 BlueHDI Spacetourer,
Citroen,Jumpy,2.2 BlueHDI,
Citroen,Nemo,1.3 HDi X,
Citroen,Nemo,1.4 HDi FT,
Citroen,Nemo,1.4 HDi X Pack,
Citroen,Nemo,1.4 HDi X,
Citroen,Nemo,1.4 HDi,
Citroen,Nemo,Combi 1.3 HDi SX Plus Vizyon,
Citroen,Nemo,Combi 1.3 HDi SX Plus,
Citroen,Nemo,Combi 1.3 HDi X,
Citroen,Nemo,Combi 1.4 HDI SX,
Citroen,Nemo,Combi 1.4 HDI,
Citroen,Nemo,Combi 1.4 HDi SX Plus Vizyon,
Citroen,Nemo,Combi 1.4 HDi SX Plus,
Citroen,Nemo,Combi 1.4 HDi X,
Citroen,Nemo,Combi 1.4 HDi XTR Plus,
Citroen,Saxo,1.0,
Citroen,Saxo,1.1,
Citroen,Saxo,1.4,SX
Citroen,Saxo,1.4,VSX
Citroen,Saxo,1.4,VTS
Citroen,Saxo,1.5D,SX
Citroen,Saxo,1.5D,X
Citroen,Saxo,1.6,SX
Citroen,Saxo,1.6,VTR
Citroen,Saxo,1.6,VTS
Citroen,Xantia,1.6,1.6
Citroen,Xantia,1.6,SX
Citroen,Xantia,1.8,1.8
Citroen,Xantia,1.8,SX
Citroen,Xantia,1.9,1.9 D
Citroen,Xantia,1.9,D SX
Citroen,Xantia,1.9,SD SX
Citroen,Xantia,1.9,TD SX
Citroen,Xantia,2.0,2.0i
Citroen,Xantia,2.0,HDI
Citroen,Xantia,2.0,SX
Citroen,Xantia,2.0,T Activa
Citroen,Xantia,2.0,T VSX
Citroen,Xantia,2.1 TD,
Citroen,Xantia,3.0,
Citroen,XM,2.0,Classic
Citroen,XM,2.0,CT VSX
Citroen,XM,2.0,Presence
Citroen,XM,3.0,
Citroen,Xsara,1.4,1.4
Citroen,Xsara,1.4,HDI
Citroen,Xsara,1.4,SX
Citroen,Xsara,1.4,X
Citroen,Xsara,1.6,SX
Citroen,Xsara,1.6,VTR
Citroen,Xsara,1.8,SX
Citroen,Xsara,1.9,D
Citroen,Xsara,1.9,TD SX
Citroen,Xsara,2.0,Exclusive
Citroen,Xsara,2.0,HDI
Citroen,Xsara,2.0,VTR
Citroen,Xsara,2.0,VTS
Citroen,Xsara,Picasso 1.6,1.6
Citroen,Xsara,Picasso 1.6,Exclusive
Citroen,Xsara,Picasso 1.6,HDI
Citroen,Xsara,Picasso 1.8,1.8
Citroen,Xsara,Picasso 1.8,Exclusive
Citroen,Xsara,Picasso 2.0,Exclusive
Citroen,Xsara,Picasso 2.0,HDI
Citroen,ZX,1.4,Avantage
Citroen,ZX,1.4,Harmonie
Citroen,ZX,1.4,SX
Citroen,ZX,1.4,X
Citroen,ZX,1.6,Aura
Citroen,ZX,1.6,Avantage
Citroen,ZX,1.8,Aura
Citroen,ZX,1.8,Avantage
Citroen,ZX,1.8,Furio
Citroen,ZX,1.8,SX
Citroen,ZX,1.9 D,Aura
Citroen,ZX,1.9 D,Avantage
Citroen,ZX,1.9 D,Reflex
Citroen,ZX,1.9 D,X
Citroen,ZX,2.0,2.0
Citroen,ZX,2.0,Volcane